main_temps,main_temp_min,main_temp_max,main_humidity,weather_main,weather_description,clouds,wind,visibility,precipitation,rain,snow,datetime,city,lon,lat,canton
5.91,5.91,5.91,73,Clouds,broken clouds,61,1.74,10000,0,,,20.12.2023 00:00,Vevey,6.8419,46.4628,VD
4.08,4.08,4.08,88,Clouds,overcast clouds,98,0.9,10000,0.1,,,21.12.2023 00:00,Vevey,6.8419,46.4628,VD
8.83,8.83,8.83,92,Rain,light rain,100,5.43,8402,0.89,1.25,,22.12.2023 00:00,Vevey,6.8419,46.4628,VD
6.43,6.43,6.43,88,Clouds,overcast clouds,92,2.19,10000,0.19,,,23.12.2023 00:00,Vevey,6.8419,46.4628,VD
0.81,0.81,2.01,87,Clouds,broken clouds,67,1.4,10000,0,,,19.12.2023 00:00,Vermes,7.4727,47.3292,JU
1.79,1.79,1.79,75,Clouds,overcast clouds,88,1.84,10000,0,,,20.12.2023 00:00,Vermes,7.4727,47.3292,JU
1.74,1.74,1.74,89,Clouds,overcast clouds,100,2.01,10000,0.05,,,21.12.2023 00:00,Vermes,7.4727,47.3292,JU
7.02,7.02,7.02,90,Rain,light rain,100,6.81,10000,1,2.31,,22.12.2023 00:00,Vermes,7.4727,47.3292,JU
5.8,5.8,5.8,90,Rain,light rain,100,4.47,10000,0.67,0.63,,23.12.2023 00:00,Vermes,7.4727,47.3292,JU
3.04,3.04,4.73,88,Clouds,broken clouds,67,0.57,10000,0,,,19.12.2023 00:00,Les Pâquis,6.1488,46.2058,GE
3.59,3.59,3.59,77,Clouds,broken clouds,70,2.04,10000,0,,,20.12.2023 00:00,Les Pâquis,6.1488,46.2058,GE
2.71,2.71,2.71,88,Clouds,broken clouds,77,1,10000,0.17,,,21.12.2023 00:00,Les Pâquis,6.1488,46.2058,GE
6.28,6.28,6.28,96,Rain,light rain,100,3.8,10000,0.98,1.43,,22.12.2023 00:00,Les Pâquis,6.1488,46.2058,GE
5.99,5.99,5.99,91,Rain,light rain,94,1.52,10000,0.31,0.31,,23.12.2023 00:00,Les Pâquis,6.1488,46.2058,GE
2.83,1.54,2.83,64,Clear,clear sky,0,2.39,10000,0,,,19.12.2023 00:00,Wildhaus,9.3503,47.2031,SG
-0.14,-0.14,-0.14,66,Clouds,few clouds,21,2.23,10000,0,,,20.12.2023 00:00,Wildhaus,9.3503,47.2031,SG
-1.76,-1.76,-1.76,97,Snow,light snow,99,1.21,4415,0.48,,0.11,21.12.2023 00:00,Wildhaus,9.3503,47.2031,SG
2.95,2.95,2.95,97,Rain,moderate rain,100,4.15,2558,0.98,3.89,,22.12.2023 00:00,Wildhaus,9.3503,47.2031,SG
0.65,0.65,0.65,92,Rain,light rain,96,2.49,10000,0.87,0.29,,23.12.2023 00:00,Wildhaus,9.3503,47.2031,SG
0.75,0.75,1.4,85,Clear,clear sky,0,1.33,10000,0,,,19.12.2023 00:00,Canton of Aargau,8.1772,47.3281,AG
1.09,1.09,1.09,90,Clouds,overcast clouds,85,1.46,10000,0,,,20.12.2023 00:00,Canton of Aargau,8.1772,47.3281,AG
1.52,1.52,1.52,91,Clouds,overcast clouds,92,1.82,10000,0.18,,,21.12.2023 00:00,Canton of Aargau,8.1772,47.3281,AG
7.8,7.8,7.8,86,Rain,light rain,100,9.31,10000,0.96,0.6,,22.12.2023 00:00,Canton of Aargau,8.1772,47.3281,AG
6.43,6.43,6.43,87,Rain,light rain,100,6.54,10000,0.66,0.35,,23.12.2023 00:00,Canton of Aargau,8.1772,47.3281,AG
8.2,8.2,9.21,66,Clear,clear sky,0,2.88,10000,0,,,19.12.2023 00:00,Gordola,8.8516,46.1805,TI
7.89,7.89,7.89,55,Clear,clear sky,4,2.57,10000,0,,,20.12.2023 00:00,Gordola,8.8516,46.1805,TI
5.86,5.86,5.86,72,Clouds,overcast clouds,87,3.16,10000,0.09,,,21.12.2023 00:00,Gordola,8.8516,46.1805,TI
8.08,8.08,8.08,80,Clouds,few clouds,23,2.91,10000,0.35,,,22.12.2023 00:00,Gordola,8.8516,46.1805,TI
6.6,6.6,6.6,72,Clear,clear sky,2,4.24,10000,0.18,,,23.12.2023 00:00,Gordola,8.8516,46.1805,TI
-0.63,-0.63,0.76,87,Clouds,broken clouds,67,1.61,10000,0,,,19.12.2023 00:00,Egg,8.6808,47.286,ZH
0.66,0.66,0.66,82,Clouds,broken clouds,77,1.35,10000,0,,,20.12.2023 00:00,Egg,8.6808,47.286,ZH
-0.07,-0.07,-0.07,92,Clouds,overcast clouds,94,1.75,10000,0.33,,,21.12.2023 00:00,Egg,8.6808,47.286,ZH
6.01,6.01,6.01,86,Rain,light rain,100,8.87,10000,0.96,0.56,,22.12.2023 00:00,Egg,8.6808,47.286,ZH
3.89,3.89,3.89,86,Rain,light rain,100,4.76,10000,0.81,0.15,,23.12.2023 00:00,Egg,8.6808,47.286,ZH
